Масло,Зона,ПЭ,С,Группа,Сочетания,Единичное масло в Зоне,Ключ
Аир,+,"Интерес к делу, которым занят. См. сочетание [1]. *ЕД: Перфекционист-фанатик.",Острое бактериальное заражение: см. сочетание [3].,Древесно-травяная,[1] Полынь в (+++/+ или ---): творческий перфекционист. [3] В сочетании с Лимоном: может быть Лямблиоз. ,Перфекционист-фанатик.,Аир|+
Аир,N,"Принятие себя, своего стремления к идеальности. Самоуверенность, при Чабреце в N.",Норма функция.,Древесно-травяная,,Перфекционист-фанатик.,Аир|N
Аир,-,"Нет интереса к делу, которым занят. Апатия.",Хр. Лямблиоз: см. сочетание [4].,Древесно-травяная,"[4] Береза, Гвоздика, Аир, Полынь в (---/-): хронический паразитарный процесс.",Перфекционист-фанатик.,Аир|-
Аир,---,Перфекционизм. Устал от стремления к идеальности. См. сочетание [1].,Мб паразитарная интоксикация: см. сочетание [4].,Древесно-травяная,"[1] Полынь в (+++/+ или ---): творческий перфекционист. [4] Береза, Гвоздика, Аир, Полынь в (---/-): хронический паразитарный процесс.",Перфекционист-фанатик.,Аир|---
Аир,0,Перфекционизм. Устал от стремления к идеальности.,,Древесно-травяная,,Перфекционист-фанатик.,Аир|0
Аир,R,Сомнения надо ли двигаться: см. сочетание [2].,,Древесно-травяная,[2] Ориентируемся на сочетание ЛГР. ,,Аир|R
Полынь,+++,"Если аромат на 1 или 2 месте, то яркая потребность в творческой реализации. Если на 3-м, то глубинный запрос на пополнение творческого ресурса, эмоциональное выгорание. См. сочетания [1], [2].","Демодекс. Нарушение работы надпочечников: см. сочетания [3], [4]",Древесно-травяная,"[1] В сочетании с Аиром в (+++/+ или ---): творческий перфекционист. [2] В сочетании с Мятой: высокое интеллектуальное перенапряжение. [3] В сочетании с Елью в (+++/+): истощение коры надпочечников. [4] Береза, Гвоздика, Аир, Полынь в (---/-): однозначно хронический паразитарный процесс",Яркая потребность в творческой реализации.,Полынь|+++
Полынь,+,Потребность в самореализации. См. сочетания [1],Переутомление.,Древесно-травяная,[1] В сочетании с Аиром в (+++/+ или ---): творческий перфекционист.,Яркая потребность в творческой реализации.,Полынь|+
Полынь,N,Уверенная творческая реализация. Усиливается Аиром в N,Норма функция.,Древесно-травяная,,Яркая потребность в творческой реализации.,Полынь|N
Полынь,-,Нет интереса к творчеству.,"Хр. паразитарные процессы. Мб нарушение сна, раздражительность. См сочетание [4].",Древесно-травяная,"[4] Береза, Гвоздика, Аир, Полынь в (---/-): однозначно хронический паразитарный процесс",Яркая потребность в творческой реализации.,Полынь|-
Полынь,---,Потребность в творческой реализации. Напряжение. См. сочетание [1],Паразитарный процесс.,Древесно-травяная,[1] В сочетании с Аиром в (+++/+ или ---): творческий перфекционист. ,Яркая потребность в творческой реализации.,Полынь|---
Полынь,0,Эмоциональное выгорание. Внутренний запрет на творчество.,,Древесно-травяная,,Яркая потребность в творческой реализации.,Полынь|0
Полынь,R,Поиск решения. Эмоциональные качели.,,Древесно-травяная,,,Полынь|R
